LOCALIDADE,ENDEREÇO,CATEGORIAS DE SERVIÇO (EXECUÇÃO PRESENCIAL),CATEGORIAS DE SERVIÇO (EXECUÇÃO REMOTA),QUANTIDADE DE USUÁRIOS
Bloco U - Esplanada dos Ministérios - Brasília/DF,"Esplanada dos Ministérios, Bloco ""U"" - 2º/3º andar Brasília - DF - Brasil - 70065-900",2º Nível (2 profissionais estimados). As equipes presenciais de 3º Nível ficarão divididas entre Bloco B e Bloco U da Esplanada dos Ministérios,1º Nível; 3º Nível,318
Bloco B - Esplanada dos Ministérios - Brasília/DF,"Esplanada dos Ministérios, Bloco ""B"" - do subsolo ao 4º andar Brasília - DF - Brasil - 70068-900",2º Nível (3 profissionais estimados). As equipes presenciais de 3º Nível ficarão divididas entre Bloco B e Bloco U da Esplanada dos Ministérios,1º Nível; 3º Nível,490
Venâncio Shopping - Brasília/DF,"SCS Quadra 8, Edifício Venâncio 2000, Bloco B-50, 9º andar Brasília - DF - Brasil - 70333-900",2º Nível (1 profissional estimado),1º Nível,146
Biblioteca Demonstrativa do Brasil - Brasília (BDB)/DF,"EQS 506/507, S/N - Asa Sul, Brasília - DF, 70350-580","2º Nível, apenas para atendimentos pontuais, não há necessidade de alguém rotineiramente alocado na BDB.",1º e 3º Níveis,30
Centro Técnico Audiovisual (CTAv) - Rio de Janeiro/RJ,"Av. Brasil, 2482 - Benfica, Rio de Janeiro - RJ, 20930-040",2º Nível (1 profissional estimado),1º e 3º Níveis,100
